,noise_level,algorithm,above-thld_pixels,max_amplitude,eta,intensity,outer-inner,reg,samples,iters,epsilon,iter
338,0.0,Debiased Sinkhorn,32.0,0.7598374897023631,,minmax,,,,,0.05,10000000.0
339,0.0,Debiased Sinkhorn,32.0,0.759837489702366,,minmax,,,,,0.05,100000.0
414,0.0,Entropic Regularized,52.0,0.015369753391953653,,,,4.0,,,,
246,0.0,KBCM,7.0,0.0010601154074918358,,,,0.1,5.0,100.0,,
247,0.0,KBCM,7.0,0.0010601154074918358,,,,0.1,5.0,100.0,,
248,0.0,KBCM,7.0,0.0005899267832055938,,,,0.25,5.0,100.0,,
249,0.0,KBCM,7.0,0.0005899267832055938,,,,0.25,5.0,100.0,,
250,0.0,KBCM,7.0,0.0004835227909640668,,,,0.4,5.0,100.0,,
251,0.0,KBCM,7.0,0.0004835227909640668,,,,0.4,5.0,100.0,,
252,0.0,KBCM,7.0,0.00044993370319496836,,,,0.5,5.0,100.0,,
253,0.0,KBCM,7.0,0.00044993370319496836,,,,0.5,5.0,100.0,,
254,0.0,KBCM,7.0,0.0004283747498423756,,,,0.6,5.0,100.0,,
255,0.0,KBCM,7.0,0.0004283747498423756,,,,0.6,5.0,100.0,,
24,0.0,TLp,7.0,0.0011088671606059599,0.001,minmax,10-100,0.1,5.0,,,
25,0.0,TLp,7.0,0.0011088671606059599,0.001,zeroone,10-100,0.1,5.0,,,
26,0.0,TLp,7.0,0.001108871945477468,0.05,minmax,10-100,0.1,5.0,,,
27,0.0,TLp,7.0,0.001108871945477468,0.05,zeroone,10-100,0.1,5.0,,,
28,0.0,TLp,7.0,0.0011088768280887132,0.1,minmax,10-100,0.1,5.0,,,
29,0.0,TLp,7.0,0.0011088768280887132,0.1,zeroone,10-100,0.1,5.0,,,
30,0.0,TLp,7.0,0.0011089354264610916,0.7,minmax,10-100,0.1,5.0,,,
31,0.0,TLp,7.0,0.0011089354264610916,0.7,zeroone,10-100,0.1,5.0,,,
32,0.0,TLp,7.0,0.0004618839186961156,0.001,minmax,10-100,0.5,5.0,,,
33,0.0,TLp,7.0,0.0004618839186961156,0.001,zeroone,10-100,0.5,5.0,,,
34,0.0,TLp,7.0,0.00046188400723830183,0.05,minmax,10-100,0.5,5.0,,,
35,0.0,TLp,7.0,0.00046188400723830183,0.05,zeroone,10-100,0.5,5.0,,,
36,0.0,TLp,7.0,0.00046188409758748516,0.1,minmax,10-100,0.5,5.0,,,
37,0.0,TLp,7.0,0.00046188409758748516,0.1,zeroone,10-100,0.5,5.0,,,
38,0.0,TLp,7.0,0.0004618851817915979,0.7,minmax,10-100,0.5,5.0,,,
39,0.0,TLp,7.0,0.0004618851817915979,0.7,zeroone,10-100,0.5,5.0,,,
40,0.0,TLp,7.0,0.0004029338370743208,0.001,minmax,10-100,0.9,5.0,,,
41,0.0,TLp,7.0,0.0004029338370743208,0.001,zeroone,10-100,0.9,5.0,,,
42,0.0,TLp,7.0,0.00040293386133823306,0.05,minmax,10-100,0.9,5.0,,,
43,0.0,TLp,7.0,0.00040293386133823306,0.05,zeroone,10-100,0.9,5.0,,,
44,0.0,TLp,7.0,0.0004029338860973289,0.1,minmax,10-100,0.9,5.0,,,
45,0.0,TLp,7.0,0.0004029338860973289,0.1,zeroone,10-100,0.9,5.0,,,
46,0.0,TLp,7.0,0.0004029341832065622,0.7,minmax,10-100,0.9,5.0,,,
47,0.0,TLp,7.0,0.0004029341832065622,0.7,zeroone,10-100,0.9,5.0,,,
351,0.1,Debiased Sinkhorn,7.0,0.02720825897619956,,minmax,,,,,1e-05,100.0
363,0.1,Debiased Sinkhorn,7.0,0.07871109745917383,,minmax,,,,,0.7,1000.0
364,0.1,Debiased Sinkhorn,7.0,0.06315516957900957,,minmax,,,,,0.7,100.0
365,0.1,Debiased Sinkhorn,7.0,0.07871109745917383,,minmax,,,,,0.7,750.0
418,0.1,Entropic Regularized,40.0,0.0033826031636358302,,,,0.05,,,,
264,0.1,KBCM,7.0,0.0008090818438534933,,,,0.1,5.0,100.0,,
265,0.1,KBCM,7.0,0.0008090818438534933,,,,0.1,5.0,100.0,,
266,0.1,KBCM,7.0,0.0005587806046978267,,,,0.25,5.0,100.0,,
267,0.1,KBCM,7.0,0.0005587806046978267,,,,0.25,5.0,100.0,,
268,0.1,KBCM,7.0,0.0004905873360697188,,,,0.4,5.0,100.0,,
269,0.1,KBCM,7.0,0.0004905873360697188,,,,0.4,5.0,100.0,,
270,0.1,KBCM,7.0,0.00046600011075909504,,,,0.5,5.0,100.0,,
271,0.1,KBCM,7.0,0.00046600011075909504,,,,0.5,5.0,100.0,,
272,0.1,KBCM,7.0,0.00044907896838903915,,,,0.6,5.0,100.0,,
273,0.1,KBCM,7.0,0.00044907896838903915,,,,0.6,5.0,100.0,,
72,0.1,TLp,7.0,0.0008316467093878617,0.001,minmax,10-100,0.1,5.0,,,
73,0.1,TLp,7.0,0.0008316467093878617,0.001,zeroone,10-100,0.1,5.0,,,
74,0.1,TLp,7.0,0.000831647881844988,0.05,minmax,10-100,0.1,5.0,,,
75,0.1,TLp,7.0,0.000831647881844988,0.05,zeroone,10-100,0.1,5.0,,,
76,0.1,TLp,7.0,0.0008316490024466644,0.1,minmax,10-100,0.1,5.0,,,
77,0.1,TLp,7.0,0.0008316490024466644,0.1,zeroone,10-100,0.1,5.0,,,
78,0.1,TLp,7.0,0.0008316624502899523,0.7,minmax,10-100,0.1,5.0,,,
79,0.1,TLp,7.0,0.0008316624502899523,0.7,zeroone,10-100,0.1,5.0,,,
80,0.1,TLp,7.0,0.00047271481453427537,0.001,minmax,10-100,0.5,5.0,,,
81,0.1,TLp,7.0,0.00047271481453427537,0.001,zeroone,10-100,0.5,5.0,,,
82,0.1,TLp,7.0,0.0004727148462592509,0.05,minmax,10-100,0.5,5.0,,,
83,0.1,TLp,7.0,0.0004727148462592509,0.05,zeroone,10-100,0.5,5.0,,,
84,0.1,TLp,7.0,0.00047271487863168114,0.1,minmax,10-100,0.5,5.0,,,
85,0.1,TLp,7.0,0.00047271487863168114,0.1,zeroone,10-100,0.5,5.0,,,
86,0.1,TLp,7.0,0.0004727152673638467,0.7,minmax,10-100,0.5,5.0,,,
87,0.1,TLp,7.0,0.0004727152673638467,0.7,zeroone,10-100,0.5,5.0,,,
88,0.1,TLp,7.0,0.0004253483885156332,0.001,minmax,10-100,0.9,5.0,,,
89,0.1,TLp,7.0,0.0004253483885156332,0.001,zeroone,10-100,0.9,5.0,,,
90,0.1,TLp,7.0,0.0004253483980072439,0.05,minmax,10-100,0.9,5.0,,,
91,0.1,TLp,7.0,0.0004253483980072439,0.05,zeroone,10-100,0.9,5.0,,,
92,0.1,TLp,7.0,0.00042534840769256193,0.1,minmax,10-100,0.9,5.0,,,
93,0.1,TLp,7.0,0.00042534840769256193,0.1,zeroone,10-100,0.9,5.0,,,
94,0.1,TLp,7.0,0.00042534852391639446,0.7,minmax,10-100,0.9,5.0,,,
95,0.1,TLp,7.0,0.00042534852391639446,0.7,zeroone,10-100,0.9,5.0,,,
367,0.2,Debiased Sinkhorn,7.0,0.04335208013185708,,minmax,,,,,1e-05,100.0
374,0.2,Debiased Sinkhorn,7.0,0.09357709929821184,,minmax,,,,,0.5,1000.0
375,0.2,Debiased Sinkhorn,7.0,0.08377377426618522,,minmax,,,,,0.5,500.0
376,0.2,Debiased Sinkhorn,7.0,0.08899217023660913,,minmax,,,,,0.5,750.0
377,0.2,Debiased Sinkhorn,7.0,0.07334118808473711,,minmax,,,,,0.7,1000.0
378,0.2,Debiased Sinkhorn,7.0,0.0659535371875069,,minmax,,,,,0.7,100.0
379,0.2,Debiased Sinkhorn,7.0,0.07334118808473711,,minmax,,,,,0.7,750.0
429,0.2,Entropic Regularized,7.0,0.0006186326762266786,,,,0.5,,,,
430,0.2,Entropic Regularized,7.0,0.0006289787273523826,,,,0.75,,,,
431,0.2,Entropic Regularized,7.0,0.000637218615406927,,,,1.0,,,,
432,0.2,Entropic Regularized,7.0,0.000640007526463866,,,,4.0,,,,
280,0.2,KBCM,7.0,0.0009309801813178453,,,,0.05,5.0,100.0,,
281,0.2,KBCM,7.0,0.0009309801813178453,,,,0.05,5.0,100.0,,
282,0.2,KBCM,7.0,0.0006915625773661587,,,,0.1,5.0,100.0,,
283,0.2,KBCM,7.0,0.0006915625773661587,,,,0.1,5.0,100.0,,
284,0.2,KBCM,7.0,0.0005465364005108988,,,,0.25,5.0,100.0,,
285,0.2,KBCM,7.0,0.0005465364005108988,,,,0.25,5.0,100.0,,
286,0.2,KBCM,7.0,0.0004955585630718033,,,,0.4,5.0,100.0,,
287,0.2,KBCM,7.0,0.0004955585630718033,,,,0.4,5.0,100.0,,
288,0.2,KBCM,7.0,0.0004748590606198688,,,,0.5,5.0,100.0,,
289,0.2,KBCM,7.0,0.0004748590606198688,,,,0.5,5.0,100.0,,
290,0.2,KBCM,7.0,0.00045989407078186135,,,,0.6,5.0,100.0,,
291,0.2,KBCM,7.0,0.00045989407078186135,,,,0.6,5.0,100.0,,
112,0.2,TLp,7.0,0.0009682526879236733,0.001,minmax,10-100,0.05,5.0,,,
113,0.2,TLp,7.0,0.0009682526879236733,0.001,zeroone,10-100,0.05,5.0,,,
114,0.2,TLp,7.0,0.000968255224921807,0.05,minmax,10-100,0.05,5.0,,,
115,0.2,TLp,7.0,0.000968255224921807,0.05,zeroone,10-100,0.05,5.0,,,
116,0.2,TLp,7.0,0.0009682572983263107,0.1,minmax,10-100,0.05,5.0,,,
117,0.2,TLp,7.0,0.0009682572983263107,0.1,zeroone,10-100,0.05,5.0,,,
118,0.2,TLp,7.0,0.0009682819355909127,0.7,minmax,10-100,0.05,5.0,,,
119,0.2,TLp,7.0,0.0009682819355909127,0.7,zeroone,10-100,0.05,5.0,,,
120,0.2,TLp,7.0,0.0007040290506843202,0.001,minmax,10-100,0.1,5.0,,,
121,0.2,TLp,7.0,0.0007040290506843202,0.001,zeroone,10-100,0.1,5.0,,,
122,0.2,TLp,7.0,0.0007040294509854324,0.05,minmax,10-100,0.1,5.0,,,
123,0.2,TLp,7.0,0.0007040294509854324,0.05,zeroone,10-100,0.1,5.0,,,
124,0.2,TLp,7.0,0.0007040299602700696,0.1,minmax,10-100,0.1,5.0,,,
125,0.2,TLp,7.0,0.0007040299602700696,0.1,zeroone,10-100,0.1,5.0,,,
126,0.2,TLp,7.0,0.0007040346581287664,0.7,minmax,10-100,0.1,5.0,,,
127,0.2,TLp,7.0,0.0007040346581287664,0.7,zeroone,10-100,0.1,5.0,,,
128,0.2,TLp,7.0,0.0004796235800006707,0.001,minmax,10-100,0.5,5.0,,,
129,0.2,TLp,7.0,0.0004796235800006707,0.001,zeroone,10-100,0.5,5.0,,,
130,0.2,TLp,7.0,0.0004796235962021948,0.05,minmax,10-100,0.5,5.0,,,
131,0.2,TLp,7.0,0.0004796235962021948,0.05,zeroone,10-100,0.5,5.0,,,
132,0.2,TLp,7.0,0.0004796236127343629,0.1,minmax,10-100,0.5,5.0,,,
133,0.2,TLp,7.0,0.0004796236127343629,0.1,zeroone,10-100,0.5,5.0,,,
134,0.2,TLp,7.0,0.0004796238111204573,0.7,minmax,10-100,0.5,5.0,,,
135,0.2,TLp,7.0,0.0004796238111204573,0.7,zeroone,10-100,0.5,5.0,,,
136,0.2,TLp,7.0,0.0004367426412892777,0.001,minmax,10-100,0.9,5.0,,,
137,0.2,TLp,7.0,0.0004367426412892777,0.001,zeroone,10-100,0.9,5.0,,,
138,0.2,TLp,7.0,0.0004367426463630344,0.05,minmax,10-100,0.9,5.0,,,
139,0.2,TLp,7.0,0.0004367426463630344,0.05,zeroone,10-100,0.9,5.0,,,
140,0.2,TLp,7.0,0.0004367426515403371,0.1,minmax,10-100,0.9,5.0,,,
141,0.2,TLp,7.0,0.0004367426515403371,0.1,zeroone,10-100,0.9,5.0,,,
142,0.2,TLp,7.0,0.00043674271366797763,0.7,minmax,10-100,0.9,5.0,,,
143,0.2,TLp,7.0,0.00043674271366797763,0.7,zeroone,10-100,0.9,5.0,,,
381,0.5,Debiased Sinkhorn,7.0,0.08038599756387478,,minmax,,,,,1e-05,100.0
387,0.5,Debiased Sinkhorn,7.0,0.09531304953881876,,minmax,,,,,0.5,1000.0
388,0.5,Debiased Sinkhorn,7.0,0.0904631489235185,,minmax,,,,,0.5,500.0
389,0.5,Debiased Sinkhorn,7.0,0.0931543416557668,,minmax,,,,,0.5,750.0
390,0.5,Debiased Sinkhorn,7.0,0.08348117966346517,,minmax,,,,,0.7,1000.0
391,0.5,Debiased Sinkhorn,7.0,0.08162410552407871,,minmax,,,,,0.7,100.0
392,0.5,Debiased Sinkhorn,7.0,0.08348117966346517,,minmax,,,,,0.7,750.0
437,0.5,Entropic Regularized,7.0,0.00048122223046622597,,,,0.1,,,,
438,0.5,Entropic Regularized,7.0,0.00046854817154527674,,,,0.5,,,,
439,0.5,Entropic Regularized,7.0,0.00046745186816811413,,,,0.75,,,,
440,0.5,Entropic Regularized,7.0,0.0004676658308831677,,,,1.0,,,,
441,0.5,Entropic Regularized,7.0,0.00046569299300836745,,,,4.0,,,,
296,0.5,KBCM,7.0,0.0008842241590501972,,,,0.01,5.0,100.0,,
297,0.5,KBCM,7.0,0.0008842241590501972,,,,0.01,5.0,100.0,,
298,0.5,KBCM,7.0,0.0006074001278230482,,,,0.05,5.0,100.0,,
299,0.5,KBCM,7.0,0.0006074001278230482,,,,0.05,5.0,100.0,,
300,0.5,KBCM,7.0,0.0005666444833734177,,,,0.1,5.0,100.0,,
301,0.5,KBCM,7.0,0.0005666444833734177,,,,0.1,5.0,100.0,,
302,0.5,KBCM,7.0,0.0005360456384754953,,,,0.25,5.0,100.0,,
303,0.5,KBCM,7.0,0.0005360456384754953,,,,0.25,5.0,100.0,,
304,0.5,KBCM,7.0,0.0005038591246168248,,,,0.4,5.0,100.0,,
305,0.5,KBCM,7.0,0.0005038591246168248,,,,0.4,5.0,100.0,,
306,0.5,KBCM,7.0,0.00048742401099271084,,,,0.5,5.0,100.0,,
307,0.5,KBCM,7.0,0.00048742401099271084,,,,0.5,5.0,100.0,,
308,0.5,KBCM,7.0,0.00047458247526409406,,,,0.6,5.0,100.0,,
309,0.5,KBCM,7.0,0.00047458247526409406,,,,0.6,5.0,100.0,,
160,0.5,TLp,7.0,0.0006183215723584055,0.001,minmax,10-100,0.05,5.0,,,
161,0.5,TLp,7.0,0.0006183215723584055,0.001,zeroone,10-100,0.05,5.0,,,
162,0.5,TLp,7.0,0.0006183217613836222,0.05,minmax,10-100,0.05,5.0,,,
163,0.5,TLp,7.0,0.0006183217613836222,0.05,zeroone,10-100,0.05,5.0,,,
164,0.5,TLp,7.0,0.0006183225033572682,0.1,minmax,10-100,0.05,5.0,,,
165,0.5,TLp,7.0,0.0006183225033572682,0.1,zeroone,10-100,0.05,5.0,,,
166,0.5,TLp,7.0,0.0006183247027940307,0.7,minmax,10-100,0.05,5.0,,,
167,0.5,TLp,7.0,0.0006183247027940307,0.7,zeroone,10-100,0.05,5.0,,,
168,0.5,TLp,7.0,0.0005700472552867772,0.001,minmax,10-100,0.1,5.0,,,
169,0.5,TLp,7.0,0.0005700472552867772,0.001,zeroone,10-100,0.1,5.0,,,
170,0.5,TLp,7.0,0.0005700473146222098,0.05,minmax,10-100,0.1,5.0,,,
171,0.5,TLp,7.0,0.0005700473146222098,0.05,zeroone,10-100,0.1,5.0,,,
172,0.5,TLp,7.0,0.0005700473751685807,0.1,minmax,10-100,0.1,5.0,,,
173,0.5,TLp,7.0,0.0005700473751685807,0.1,zeroone,10-100,0.1,5.0,,,
174,0.5,TLp,7.0,0.0005700482872194322,0.7,minmax,10-100,0.1,5.0,,,
175,0.5,TLp,7.0,0.0005700482872194322,0.7,zeroone,10-100,0.1,5.0,,,
176,0.5,TLp,7.0,0.0004899569022894017,0.001,minmax,10-100,0.5,5.0,,,
177,0.5,TLp,7.0,0.0004899569022894017,0.001,zeroone,10-100,0.5,5.0,,,
178,0.5,TLp,7.0,0.0004899569074582671,0.05,minmax,10-100,0.5,5.0,,,
179,0.5,TLp,7.0,0.0004899569074582671,0.05,zeroone,10-100,0.5,5.0,,,
180,0.5,TLp,7.0,0.0004899569127326199,0.1,minmax,10-100,0.5,5.0,,,
181,0.5,TLp,7.0,0.0004899569127326199,0.1,zeroone,10-100,0.5,5.0,,,
182,0.5,TLp,7.0,0.0004899569760248671,0.7,minmax,10-100,0.5,5.0,,,
183,0.5,TLp,7.0,0.0004899569760248671,0.7,zeroone,10-100,0.5,5.0,,,
184,0.5,TLp,7.0,0.0004516276450838704,0.001,minmax,10-100,0.9,5.0,,,
185,0.5,TLp,7.0,0.0004516276450838704,0.001,zeroone,10-100,0.9,5.0,,,
186,0.5,TLp,7.0,0.0004516276468173923,0.05,minmax,10-100,0.9,5.0,,,
187,0.5,TLp,7.0,0.0004516276468173923,0.05,zeroone,10-100,0.9,5.0,,,
188,0.5,TLp,7.0,0.00045162764858629054,0.1,minmax,10-100,0.9,5.0,,,
189,0.5,TLp,7.0,0.00045162764858629054,0.1,zeroone,10-100,0.9,5.0,,,
190,0.5,TLp,7.0,0.0004516276698130796,0.7,minmax,10-100,0.9,5.0,,,
191,0.5,TLp,7.0,0.0004516276698130796,0.7,zeroone,10-100,0.9,5.0,,,
394,1.0,Debiased Sinkhorn,7.0,0.122435079392523,,minmax,,,,,1e-05,100.0
395,1.0,Debiased Sinkhorn,7.0,0.16361060142591366,,minmax,,,,,0.01,100000.0
396,1.0,Debiased Sinkhorn,7.0,0.15784371476152612,,minmax,,,,,0.05,100000.0
397,1.0,Debiased Sinkhorn,7.0,0.13486395436845108,,minmax,,,,,0.2,2500.0
398,1.0,Debiased Sinkhorn,7.0,0.13486395436845108,,minmax,,,,,0.2,3000.0
399,1.0,Debiased Sinkhorn,7.0,0.13486395436845108,,minmax,,,,,0.2,4000.0
400,1.0,Debiased Sinkhorn,7.0,0.1164258467601257,,minmax,,,,,0.5,1000.0
401,1.0,Debiased Sinkhorn,7.0,0.1139213765926526,,minmax,,,,,0.5,500.0
402,1.0,Debiased Sinkhorn,7.0,0.1154098631798583,,minmax,,,,,0.5,750.0
403,1.0,Debiased Sinkhorn,7.0,0.11011488252858427,,minmax,,,,,0.7,1000.0
404,1.0,Debiased Sinkhorn,7.0,0.1102098943441253,,minmax,,,,,0.7,100.0
405,1.0,Debiased Sinkhorn,7.0,0.11011488252858427,,minmax,,,,,0.7,750.0
445,1.0,Entropic Regularized,7.0,0.0004663360721724796,,,,0.05,,,,
446,1.0,Entropic Regularized,7.0,0.0004497839527953117,,,,0.1,,,,
447,1.0,Entropic Regularized,7.0,0.00043432228382926977,,,,0.5,,,,
448,1.0,Entropic Regularized,7.0,0.00043290293199800263,,,,0.75,,,,
449,1.0,Entropic Regularized,7.0,0.0004381299964598857,,,,1.0,,,,
450,1.0,Entropic Regularized,7.0,0.0004480836411384167,,,,4.0,,,,
312,1.0,KBCM,7.0,0.0007015246523679267,,,,0.001,5.0,100.0,,
313,1.0,KBCM,7.0,0.0007015246523679267,,,,0.001,5.0,100.0,,
314,1.0,KBCM,7.0,0.000585855868819295,,,,0.01,5.0,100.0,,
315,1.0,KBCM,7.0,0.000585855868819295,,,,0.01,5.0,100.0,,
316,1.0,KBCM,7.0,0.0004920296391956681,,,,0.05,5.0,100.0,,
317,1.0,KBCM,7.0,0.0004920296391956681,,,,0.05,5.0,100.0,,
318,1.0,KBCM,7.0,0.0005071391792249416,,,,0.1,5.0,100.0,,
319,1.0,KBCM,7.0,0.0005071391792249416,,,,0.1,5.0,100.0,,
320,1.0,KBCM,7.0,0.000522165200282918,,,,0.25,5.0,100.0,,
321,1.0,KBCM,7.0,0.000522165200282918,,,,0.25,5.0,100.0,,
322,1.0,KBCM,7.0,0.0004982104586654423,,,,0.4,5.0,100.0,,
323,1.0,KBCM,7.0,0.0004982104586654423,,,,0.4,5.0,100.0,,
324,1.0,KBCM,7.0,0.0004837970497005999,,,,0.5,5.0,100.0,,
325,1.0,KBCM,7.0,0.0004837970497005999,,,,0.5,5.0,100.0,,
326,1.0,KBCM,7.0,0.0004720739498584045,,,,0.6,5.0,100.0,,
327,1.0,KBCM,7.0,0.0004720739498584045,,,,0.6,5.0,100.0,,
192,1.0,TLp,7.0,0.000814732911775255,0.001,minmax,10-100,0.001,5.0,,,
193,1.0,TLp,7.0,0.000814732911775255,0.001,zeroone,10-100,0.001,5.0,,,
194,1.0,TLp,7.0,0.000814738292938085,0.05,minmax,10-100,0.001,5.0,,,
195,1.0,TLp,7.0,0.000814738292938085,0.05,zeroone,10-100,0.001,5.0,,,
196,1.0,TLp,7.0,0.0008147437842298863,0.1,minmax,10-100,0.001,5.0,,,
197,1.0,TLp,7.0,0.0008147437842298863,0.1,zeroone,10-100,0.001,5.0,,,
198,1.0,TLp,7.0,0.0008148097041138472,0.7,minmax,10-100,0.001,5.0,,,
199,1.0,TLp,7.0,0.0008148097041138472,0.7,zeroone,10-100,0.001,5.0,,,
200,1.0,TLp,7.0,0.0005894512794079519,0.001,minmax,10-100,0.01,5.0,,,
201,1.0,TLp,7.0,0.0005894512794079519,0.001,zeroone,10-100,0.01,5.0,,,
202,1.0,TLp,7.0,0.0005894515628257895,0.05,minmax,10-100,0.01,5.0,,,
203,1.0,TLp,7.0,0.0005894515628257895,0.05,zeroone,10-100,0.01,5.0,,,
204,1.0,TLp,7.0,0.0005894518520292643,0.1,minmax,10-100,0.01,5.0,,,
205,1.0,TLp,7.0,0.0005894518520292643,0.1,zeroone,10-100,0.01,5.0,,,
206,1.0,TLp,7.0,0.0005894553225952908,0.7,minmax,10-100,0.01,5.0,,,
207,1.0,TLp,7.0,0.0005894553225952908,0.7,zeroone,10-100,0.01,5.0,,,
208,1.0,TLp,7.0,0.0004925025441911096,0.001,minmax,10-100,0.05,5.0,,,
209,1.0,TLp,7.0,0.0004925025441911096,0.001,zeroone,10-100,0.05,5.0,,,
210,1.0,TLp,7.0,0.0004925025654574724,0.05,minmax,10-100,0.05,5.0,,,
211,1.0,TLp,7.0,0.0004925025654574724,0.05,zeroone,10-100,0.05,5.0,,,
212,1.0,TLp,7.0,0.0004925025871578459,0.1,minmax,10-100,0.05,5.0,,,
213,1.0,TLp,7.0,0.0004925025871578459,0.1,zeroone,10-100,0.05,5.0,,,
214,1.0,TLp,7.0,0.0004925030134417338,0.7,minmax,10-100,0.05,5.0,,,
215,1.0,TLp,7.0,0.0004925030134417338,0.7,zeroone,10-100,0.05,5.0,,,
216,1.0,TLp,7.0,0.000507900050965679,0.001,minmax,10-100,0.1,5.0,,,
217,1.0,TLp,7.0,0.000507900050965679,0.001,zeroone,10-100,0.1,5.0,,,
218,1.0,TLp,7.0,0.0005079000652375639,0.05,minmax,10-100,0.1,5.0,,,
219,1.0,TLp,7.0,0.0005079000652375639,0.05,zeroone,10-100,0.1,5.0,,,
220,1.0,TLp,7.0,0.0005079000798007113,0.1,minmax,10-100,0.1,5.0,,,
221,1.0,TLp,7.0,0.0005079000798007113,0.1,zeroone,10-100,0.1,5.0,,,
222,1.0,TLp,7.0,0.0005079002545585096,0.7,minmax,10-100,0.1,5.0,,,
223,1.0,TLp,7.0,0.0005079002545585096,0.7,zeroone,10-100,0.1,5.0,,,
224,1.0,TLp,7.0,0.00048613069994212833,0.001,minmax,10-100,0.5,5.0,,,
225,1.0,TLp,7.0,0.00048613069994212833,0.001,zeroone,10-100,0.5,5.0,,,
226,1.0,TLp,7.0,0.00048613070229762265,0.05,minmax,10-100,0.5,5.0,,,
227,1.0,TLp,7.0,0.00048613070229762265,0.05,zeroone,10-100,0.5,5.0,,,
228,1.0,TLp,7.0,0.00048613070470118806,0.1,minmax,10-100,0.5,5.0,,,
229,1.0,TLp,7.0,0.00048613070470118806,0.1,zeroone,10-100,0.5,5.0,,,
230,1.0,TLp,7.0,0.00048613073354397473,0.7,minmax,10-100,0.5,5.0,,,
231,1.0,TLp,7.0,0.00048613073354397473,0.7,zeroone,10-100,0.5,5.0,,,
232,1.0,TLp,7.0,0.00045048853703542365,0.001,minmax,10-100,0.9,5.0,,,
233,1.0,TLp,7.0,0.00045048853703542365,0.001,zeroone,10-100,0.9,5.0,,,
234,1.0,TLp,7.0,0.00045048853787197404,0.05,minmax,10-100,0.9,5.0,,,
235,1.0,TLp,7.0,0.00045048853787197404,0.05,zeroone,10-100,0.9,5.0,,,
236,1.0,TLp,7.0,0.000450488538725596,0.1,minmax,10-100,0.9,5.0,,,
237,1.0,TLp,7.0,0.000450488538725596,0.1,zeroone,10-100,0.9,5.0,,,
238,1.0,TLp,7.0,0.0004504885489690657,0.7,minmax,10-100,0.9,5.0,,,
239,1.0,TLp,7.0,0.0004504885489690657,0.7,zeroone,10-100,0.9,5.0,,,
