,noise level,max amplitude,above-thld pixels,above-thld pixels std,algorithm,c,reg,eps
106,0.2,7.590372336661214,"[[20 20 20 20 21 21 21 21 21 21 22 22 22 22 22 22 23 23 23 23 23 23 24 24
  24 24]
 [26 27 28 29 25 26 27 28 29 30 25 26 27 28 29 30 25 26 27 28 29 30 26 27
  28 29]]","[[4.69041576]
 [5.59016994]]",debiased_sinkhorn,,,0.3
107,0.2,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,0.5
108,0.2,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,0.7
109,0.2,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,0.9
110,0.2,2.4039452981821605,"[[17 17 18 18 18 18 18 18 19 19 19 19 19 19 19 19 20 20 20 20 20 20 20 20
  20 20 21 21 21 21 21 21 21 21 21 21 22 22 22 22 22 22 22 22 22 22 23 23
  23 23 23 23 23 23 23 23 24 24 24 24 24 24 24 24 24 24 25 25 25 25 25 25
  25 25 26 26 26 26 26 26]
 [27 28 25 26 27 28 29 30 24 25 26 27 28 29 30 31 23 24 25 26 27 28 29 30
  31 32 23 24 25 26 27 28 29 30 31 32 23 24 25 26 27 28 29 30 31 32 23 24
  25 26 27 28 29 30 31 32 23 24 25 26 27 28 29 30 31 32 24 25 26 27 28 29
  30 31 25 26 27 28 29 30]]","[[15.56839748]
 [16.30950643]]",debiased_sinkhorn,,,1.0
111,0.2,1.1980554696725143,"[[15 15 15 15 16 16 16 16 16 16 16 16 17 17 17 17 17 17 17 17 17 17 18 18
  18 18 18 18 18 18 18 18 18 18 19 19 19 19 19 19 19 19 19 19 19 19 19 19
  20 20 20 20 20 20 20 20 20 20 20 20 20 20 21 21 21 21 21 21 21 21 21 21
  21 21 21 21 22 22 22 22 22 22 22 22 22 22 22 22 22 22 23 23 23 23 23 23
  23 23 23 23 23 23 23 23 24 24 24 24 24 24 24 24 24 24 24 24 24 24 25 25
  25 25 25 25 25 25 25 25 25 25 25 26 26 26 26 26 26 26 26 26 26 26 26 27
  27 27 27 27 27 27 27 27 27 28 28 28 28 28 28 28 28 29 29 29]
 [26 27 28 29 24 25 26 27 28 29 30 31 23 24 25 26 27 28 29 30 31 32 22 23
  24 25 26 27 28 29 30 31 32 33 21 22 23 24 25 26 27 28 29 30 31 32 33 34
  21 22 23 24 25 26 27 28 29 30 31 32 33 34 21 22 23 24 25 26 27 28 29 30
  31 32 33 34 21 22 23 24 25 26 27 28 29 30 31 32 33 34 21 22 23 24 25 26
  27 28 29 30 31 32 33 34 21 22 23 24 25 26 27 28 29 30 31 32 33 34 21 22
  23 24 25 26 27 28 29 30 31 32 33 22 23 24 25 26 27 28 29 30 31 32 33 23
  24 25 26 27 28 29 30 31 32 24 25 26 27 28 29 30 31 26 27 28]]","[[33.05593928]
 [32.34663627]]",debiased_sinkhorn,,,2.0
112,0.2,0.766369545852116,"[[13 13 14 14 14 14 14 14 14 14 15 15 15 15 15 15 15 15 15 15 15 15 16 16
  16 16 16 16 16 16 16 16 16 16 16 16 17 17 17 17 17 17 17 17 17 17 17 17
  17 17 17 17 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 19 19 19 19
  19 19 19 19 19 19 19 19 19 19 19 19 19 19 20 20 20 20 20 20 20 20 20 20
  20 20 20 20 20 20 20 20 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21
  21 21 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 23 23 23 23
  23 23 23 23 23 23 23 23 23 23 23 23 23 23 24 24 24 24 24 24 24 24 24 24
  24 24 24 24 24 24 24 24 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25
  25 25 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 27 27 27 27 27 27
  27 27 27 27 27 27 27 27 27 28 28 28 28 28 28 28 28 28 28 28 28 28 28 29
  29 29 29 29 29 29 29 29 29 29 29 30 30 30 30 30 30 30 30]
 [27 28 24 25 26 27 28 29 30 31 22 23 24 25 26 27 28 29 30 31 32 33 21 22
  23 24 25 26 27 28 29 30 31 32 33 34 20 21 22 23 24 25 26 27 28 29 30 31
  32 33 34 35 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 19 20 21 22
  23 24 25 26 27 28 29 30 31 32 33 34 35 36 19 20 21 22 23 24 25 26 27 28
  29 30 31 32 33 34 35 36 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34
  35 36 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 19 20 21 22
  23 24 25 26 27 28 29 30 31 32 33 34 35 36 19 20 21 22 23 24 25 26 27 28
  29 30 31 32 33 34 35 36 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34
  35 36 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 20 21 22 23 24 25
  26 27 28 29 30 31 32 33 34 21 22 23 24 25 26 27 28 29 30 31 32 33 34 22
  23 24 25 26 27 28 29 30 31 32 33 24 25 26 27 28 29 30 31]]","[[50.78856923]
 [52.53823759]]",debiased_sinkhorn,,,3.0
113,0.5,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,0.001
114,0.5,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,0.01
115,0.5,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,0.015
116,0.5,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,0.025
117,0.5,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,0.05
118,0.5,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,0.075
119,0.5,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,0.1
120,0.5,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,0.15
121,0.5,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,0.2
122,0.5,14.007531820459699,"[[21 21 21 22 22 22 22 22 23 23 23 23 23 24 24 24]
 [26 27 28 25 26 27 28 29 25 26 27 28 29 26 27 28]]","[[2.82842712]
 [3.46410162]]",debiased_sinkhorn,,,0.3
123,0.5,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,0.5
124,0.5,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,0.7
125,0.5,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,0.9
126,0.5,2.8338403629852333,"[[19 19 19 19 19 19 20 20 20 20 20 20 20 20 21 21 21 21 21 21 21 21 21 22
  22 22 22 22 22 22 22 22 22 23 23 23 23 23 23 23 23 23 23 24 24 24 24 24
  24 24 24 24 25 25 25 25 25 25 25 25 26 26 26 26 26 26]
 [24 25 26 27 28 29 23 24 25 26 27 28 29 30 23 24 25 26 27 28 29 30 31 22
  23 24 25 26 27 28 29 30 31 22 23 24 25 26 27 28 29 30 31 23 24 25 26 27
  28 29 30 31 23 24 25 26 27 28 29 30 24 25 26 27 28 29]]","[[12.09338662]
 [14.27012136]]",debiased_sinkhorn,,,1.0
127,0.5,1.2959134334790003,"[[16 16 16 17 17 17 17 17 17 17 17 18 18 18 18 18 18 18 18 18 18 19 19 19
  19 19 19 19 19 19 19 19 19 20 20 20 20 20 20 20 20 20 20 20 20 20 21 21
  21 21 21 21 21 21 21 21 21 21 21 21 22 22 22 22 22 22 22 22 22 22 22 22
  22 22 23 23 23 23 23 23 23 23 23 23 23 23 23 23 24 24 24 24 24 24 24 24
  24 24 24 24 24 24 25 25 25 25 25 25 25 25 25 25 25 25 25 26 26 26 26 26
  26 26 26 26 26 26 26 27 27 27 27 27 27 27 27 27 27 27 28 28 28 28 28 28
  28 28 29 29 29 29]
 [26 27 28 23 24 25 26 27 28 29 30 22 23 24 25 26 27 28 29 30 31 21 22 23
  24 25 26 27 28 29 30 31 32 21 22 23 24 25 26 27 28 29 30 31 32 33 20 21
  22 23 24 25 26 27 28 29 30 31 32 33 20 21 22 23 24 25 26 27 28 29 30 31
  32 33 20 21 22 23 24 25 26 27 28 29 30 31 32 33 20 21 22 23 24 25 26 27
  28 29 30 31 32 33 21 22 23 24 25 26 27 28 29 30 31 32 33 21 22 23 24 25
  26 27 28 29 30 31 32 22 23 24 25 26 27 28 29 30 31 32 23 24 25 26 27 28
  29 30 25 26 27 28]]","[[29.41677526]
 [30.42066184]]",debiased_sinkhorn,,,2.0
128,0.5,0.8075164853768941,"[[14 15 15 15 15 15 15 15 15 15 16 16 16 16 16 16 16 16 16 16 16 17 17 17
  17 17 17 17 17 17 17 17 17 17 18 18 18 18 18 18 18 18 18 18 18 18 18 18
  18 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 20 20 20 20 20 20 20
  20 20 20 20 20 20 20 20 20 20 21 21 21 21 21 21 21 21 21 21 21 21 21 21
  21 21 21 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 23 23 23
  23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 24 24 24 24 24 24 24 24 24
  24 24 24 24 24 24 24 24 24 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25
  25 25 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 27 27 27 27 27 27
  27 27 27 27 27 27 27 27 27 28 28 28 28 28 28 28 28 28 28 28 28 28 28 29
  29 29 29 29 29 29 29 29 29 29 29 30 30 30 30 30 30 30 30 30 31 31 31 31]
 [27 23 24 25 26 27 28 29 30 31 22 23 24 25 26 27 28 29 30 31 32 21 22 23
  24 25 26 27 28 29 30 31 32 33 20 21 22 23 24 25 26 27 28 29 30 31 32 33
  34 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 19 20 21 22 23 24 25
  26 27 28 29 30 31 32 33 34 35 19 20 21 22 23 24 25 26 27 28 29 30 31 32
  33 34 35 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 18 19 20
  21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 18 19 20 21 22 23 24 25 26
  27 28 29 30 31 32 33 34 35 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33
  34 35 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 20 21 22 23 24 25
  26 27 28 29 30 31 32 33 34 20 21 22 23 24 25 26 27 28 29 30 31 32 33 21
  22 23 24 25 26 27 28 29 30 31 32 23 24 25 26 27 28 29 30 31 25 26 27 28]]","[[47.19990731]
 [48.57974544]]",debiased_sinkhorn,,,3.0
129,1.0,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,0.001
130,1.0,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,0.01
131,1.0,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,0.015
132,1.0,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,0.025
133,1.0,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,0.05
134,1.0,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,0.075
135,1.0,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,0.1
136,1.0,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,0.15
137,1.0,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,0.2
138,1.0,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,0.3
139,1.0,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,0.5
140,1.0,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,0.7
141,1.0,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,0.9
142,1.0,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,1.0
143,1.0,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,2.0
144,1.0,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,3.0
145,0.0,0.8362981131280225,"[[13 13 13 14 14 14 14 14 14 14 14 14 15 15 15 15 15 15 15 15 15 15 15 16
  16 16 16 16 16 16 16 16 16 16 16 16 17 17 17 17 17 17 17 17 17 17 17 17
  17 17 17 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 19 19 19 19 19
  19 19 19 19 19 19 19 19 19 19 19 19 20 20 20 20 20 20 20 20 20 20 20 20
  20 20 20 20 20 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 22 22
  22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 23 23 23 23 23 23 23 23 23
  23 23 23 23 23 23 23 23 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24
  24 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 26 26 26 26 26 26 26
  26 26 26 26 26 26 26 26 27 27 27 27 27 27 27 27 27 27 27 27 27 27 28 28
  28 28 28 28 28 28 28 28 28 28 29 29 29 29 29 29 29 29 29 30 30 30 30 30]
 [27 28 29 24 25 26 27 28 29 30 31 32 23 24 25 26 27 28 29 30 31 32 33 22
  23 24 25 26 27 28 29 30 31 32 33 34 21 22 23 24 25 26 27 28 29 30 31 32
  33 34 35 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 20 21 22 23 24
  25 26 27 28 29 30 31 32 33 34 35 36 20 21 22 23 24 25 26 27 28 29 30 31
  32 33 34 35 36 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 20 21
  22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 20 21 22 23 24 25 26 27 28
  29 30 31 32 33 34 35 36 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35
  36 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 21 22 23 24 25 26 27
  28 29 30 31 32 33 34 35 21 22 23 24 25 26 27 28 29 30 31 32 33 34 22 23
  24 25 26 27 28 29 30 31 32 33 24 25 26 27 28 29 30 31 32 26 27 28 29 30]]","[[48.33474854]
 [47.39987254]]",entropic_regularized,,0.04,
146,0.0,0.739976635641598,"[[17 17 17 17 17 17 18 18 18 18 18 18 18 18 18 18 19 19 19 19 19 19 19 19
  19 19 19 19 20 20 20 20 20 20 20 20 20 20 20 20 20 20 21 21 21 21 21 21
  21 21 21 21 21 21 21 21 21 21 22 22 22 22 22 22 22 22 22 22 22 22 22 22
  22 22 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 24 24 24 24 24
  24 24 24 24 24 24 24 24 24 24 24 24 24 25 25 25 25 25 25 25 25 25 25 25
  25 25 25 25 25 25 25 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26
  26 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 28 28 28 28 28 28
  28 28 28 28 28 28 28 28 28 28 29 29 29 29 29 29 29 29 29 29 29 29 29 29
  29 29 30 30 30 30 30 30 30 30 30 30 30 30 30 30 31 31 31 31 31 31 31 31
  31 31 31 31 32 32 32 32 32 32 32 32 32 32 33 33 33 33 33 33 33 33]
 [21 22 23 24 25 26 19 20 21 22 23 24 25 26 27 28 18 19 20 21 22 23 24 25
  26 27 28 29 17 18 19 20 21 22 23 24 25 26 27 28 29 30 16 17 18 19 20 21
  22 23 24 25 26 27 28 29 30 31 16 17 18 19 20 21 22 23 24 25 26 27 28 29
  30 31 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 15 16 17 18 19
  20 21 22 23 24 25 26 27 28 29 30 31 32 15 16 17 18 19 20 21 22 23 24 25
  26 27 28 29 30 31 32 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
  32 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 16 17 18 19 20 21
  22 23 24 25 26 27 28 29 30 31 16 17 18 19 20 21 22 23 24 25 26 27 28 29
  30 31 17 18 19 20 21 22 23 24 25 26 27 28 29 30 18 19 20 21 22 23 24 25
  26 27 28 29 19 20 21 22 23 24 25 26 27 28 20 21 22 23 24 25 26 27]]","[[46.96234859]
 [47.97022886]]",entropic_regularized,,0.4,
147,0.0,0.739976635641598,"[[17 17 17 17 17 17 18 18 18 18 18 18 18 18 18 18 19 19 19 19 19 19 19 19
  19 19 19 19 20 20 20 20 20 20 20 20 20 20 20 20 20 20 21 21 21 21 21 21
  21 21 21 21 21 21 21 21 21 21 22 22 22 22 22 22 22 22 22 22 22 22 22 22
  22 22 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 24 24 24 24 24
  24 24 24 24 24 24 24 24 24 24 24 24 24 25 25 25 25 25 25 25 25 25 25 25
  25 25 25 25 25 25 25 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26
  26 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 28 28 28 28 28 28
  28 28 28 28 28 28 28 28 28 28 29 29 29 29 29 29 29 29 29 29 29 29 29 29
  29 29 30 30 30 30 30 30 30 30 30 30 30 30 30 30 31 31 31 31 31 31 31 31
  31 31 31 31 32 32 32 32 32 32 32 32 32 32 33 33 33 33 33 33 33 33]
 [21 22 23 24 25 26 19 20 21 22 23 24 25 26 27 28 18 19 20 21 22 23 24 25
  26 27 28 29 17 18 19 20 21 22 23 24 25 26 27 28 29 30 16 17 18 19 20 21
  22 23 24 25 26 27 28 29 30 31 16 17 18 19 20 21 22 23 24 25 26 27 28 29
  30 31 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 15 16 17 18 19
  20 21 22 23 24 25 26 27 28 29 30 31 32 15 16 17 18 19 20 21 22 23 24 25
  26 27 28 29 30 31 32 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
  32 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 16 17 18 19 20 21
  22 23 24 25 26 27 28 29 30 31 16 17 18 19 20 21 22 23 24 25 26 27 28 29
  30 31 17 18 19 20 21 22 23 24 25 26 27 28 29 30 18 19 20 21 22 23 24 25
  26 27 28 29 19 20 21 22 23 24 25 26 27 28 20 21 22 23 24 25 26 27]]","[[46.96234859]
 [47.97022886]]",entropic_regularized,,4.0,
148,0.05,4.141414122733217e-11,"[[39 39 39 39 40 40 40 44]
 [38 39 40 41 38 39 40 42]]","[[3.16227766]
 [2.63391344]]",entropic_regularized,,0.04,
149,0.05,2.36323702080022e-06,"[[23 23 23 24 24 24 24 25 25]
 [25 26 27 24 25 26 27 25 26]]","[[1.56347192]
 [2.        ]]",entropic_regularized,,0.4,
150,0.05,2.36323702080022e-06,"[[23 23 23 24 24 24 24 25 25]
 [25 26 27 24 25 26 27 25 26]]","[[1.56347192]
 [2.        ]]",entropic_regularized,,4.0,
151,0.1,4.038630910274391e-11,"[[25 25 26 27 28 28 29]
 [38 39 37 37 37 38 37]]","[[2.72554058]
 [1.36277029]]",entropic_regularized,,0.04,
152,0.1,9.956348119718793e-07,"[[22 23 23 24 24 24 25]
 [24 23 24 23 24 25 25]]","[[1.69030851]
 [1.41421356]]",entropic_regularized,,0.4,
153,0.1,9.956348119718793e-07,"[[22 23 23 24 24 24 25]
 [24 23 24 23 24 25 25]]","[[1.69030851]
 [1.41421356]]",entropic_regularized,,4.0,
154,0.2,2.2034638669524013e-11,"[[35 35 36 36 36 37 37]
 [13 25 12 13 14 12 13]]","[[1.41421356]
 [8.05339325]]",entropic_regularized,,0.04,
155,0.2,2.4919493148334145e-11,"[[25 25 25 26 26 27]
 [22 23 24 23 24 23]]","[[1.29099445]
 [1.19023807]]",entropic_regularized,,0.4,
156,0.2,2.4919493148334145e-11,"[[25 25 25 26 26 27]
 [22 23 24 23 24 23]]","[[1.29099445]
 [1.19023807]]",entropic_regularized,,4.0,
157,0.5,1.247443354722112e-12,"[[33 33 34 34 35 35 36 36]
 [13 14 13 14 16 17 21 22]]","[[2.23606798]
 [6.61437828]]",entropic_regularized,,0.04,
158,0.5,2.437401104260423e-11,"[[26 26 26]
 [21 22 23]]","[[0.]
 [1.]]",entropic_regularized,,0.4,
159,0.5,2.437401104260423e-11,"[[26 26 26]
 [21 22 23]]","[[0.]
 [1.]]",entropic_regularized,,4.0,
160,1.0,2.2125305438338225e-12,"[[29 30]
 [32 32]]","[[0.5]
 [0. ]]",entropic_regularized,,0.04,
161,1.0,2.7128885108297307e-09,"[[24 25]
 [24 24]]","[[0.5]
 [0. ]]",entropic_regularized,,0.4,
162,1.0,2.7128885108297307e-09,"[[24 25]
 [24 24]]","[[0.5]
 [0. ]]",entropic_regularized,,4.0,
